Number,Name,Wood [%],Metal [%],Plastic [%],Fabric [%],Weight [kg]
,,,,,,
59,Toothbrush,0,0,100,0,0.05
,,,,,,
62,Sneaker,0,0,60,30,0.3
,,,,,,
63,Sandal,80,5,0,0,0.25
,,,,,,
65,ElectricSaw,0,80,20,0,4
,,,,,,
68,BirdPainting,90,0,0,0,2
,,,,,,
72,StuffedBear,0,0,2,98,0.5
,,,,,,
73,EmbalmedBird,15,0,4,0,2
,,,,,,
75,WoodenSled,90,2,5,0,5
,,,,,,
77,Battery,0,50,0,0,0.025
,,,,,,
78,EmbalmedDeer,20,0,2,0,3
,,,,,,
80,CoatHanger,100,0,0,0,2
,,,,,,
81,Microscope,0,90,10,0,2
,,,,,,
82,Binoculars,0,20,70,0,0.5
,,,,,,
84,PlasticBowAndArrows,0,10,90,0,2
,,,,,,
85,Dumbbells,0,20,80,0,10
,,,,,,
86,Skate,50,40,10,0,4
,,,,,,
87,Sunglasses,0,5,95,0,0.01
,,,,,,
89,Gun,0,100,0,0,1.5
,,,,,,
90,FryingPan,0,98,2,0,0.5
,,,,,,
91,Statue,0,0,0,0,80
,,,,,,
93,Dynamite,0,0,0,10,4
,,,,,,
94,Milk,0,0,10,0,1
,,,,,,
96,CartonBox,0,0,0,0,0.2
,,,,,,
97,WoodMetalShovel,20,0,80,0,1
,,,,,,
98,PlasticShovel,0,0,100,0,1
,,,,,,
100,Rug,0,0,0,100,5
,,,,,,
101,Chandelier,100,0,0,0,3
,,,,,,
102,MagnifyingGlass,0,0,80,0,0.3
,,,,,,
103,WoodTable,100,0,0,0,10
,,,,,,
104,GlassWoodTable,70,0,0,0,15
,,,,,,
105,PlasticTrashcan,0,5,95,0,5
,,,,,,
107,Umbrella,0,50,20,30,1.5
,,,,,,
108,Guitar,80,15,5,0,3
,,,,,,
109,Tuba,0,100,0,0,4
,,,,,,
112,Trumpet,0,100,0,0,2
,,,,,,
113,PottedTree,50,0,20,0,5
,,,,,,
114,Toaster,0,70,30,0,1.5
,,,,,,
116,DeskChair,0,50,50,0,6
,,,,,,
123,OldTelescope,30,70,0,0,8
,,,,,,
124,BoxingGloves,0,0,0,80,1
,,,,,,
125,Boot,0,10,50,40,0.3
,,,,,,
126,OldBook,80,0,0,20,0.6
,,,,,,
127,WalkingStick,100,0,0,0,0.4
,,,,,,
128,Axe,70,30,0,0,2.5
,,,,,,
131,WoodenWheel,100,0,0,0,4
,,,,,,
132,Sponge,0,0,0,100,0.1
,,,,,,
133,SwissBlade,0,70,30,0,0.2
,,,,,,
135,GardeningScissors,0,80,20,0,0.4
,,,,,,
139,Rock,0,0,0,0,6
,,,,,,
140,Pinecone,100,0,0,0,0.2
,,,,,,
141,ElectricGuitar,50,20,30,0,3
,,,,,,
142,Vase,0,0,0,0,3
,,,,,,
143,Safebox,0,95,5,0,20
,,,,,,
144,Cannon,40,60,0,0,120
,,,,,,
145,Camera,0,20,50,0,1.5
,,,,,,
148,MetalBriefcase,0,80,10,0,3
,,,,,,
149,ElectricKeyboards,0,10,80,0,2.5
,,,,,,
150,FireExtinguisher,0,80,10,0,5
,,,,,,
151,RubberDuck,0,0,100,0,0.2
,,,,,,
152,Quartz,0,0,0,0,2
,,,,,,
153,HoneyJar,0,10,0,0,0.5
,,,,,,
155,BedFrame,90,5,5,0,200
,,,,,,
157,Blackboard,0,50,50,0,2
,,,,,,
158,IroningBoard,0,90,5,5,2
,,,,,,
161,PendulumClock,90,10,0,0,100
,,,,,,
162,CouchChair,35,5,0,60,20
,,,,,,
168,Brick,0,0,0,0,2
,,,,,,
170,CarWheel,0,50,50,0,15
,,,,,,
172,Grill,0,100,0,0,5
,,,,,,
173,Foosball,70,20,10,0,90
,,,,,,
177,VaccumCleaner,0,90,0,0,105
,,,,,,
178,TennisRacket,0,90,10,0,0.5
,,,,,,
184,ElectricHeater,0,90,10,0,30
,,,,,,
187,MirrorSilverFrame,70,10,0,0,15
,,,,,,
188,BasketballBall,0,0,100,0,0.7
,,,,,,
190,ParkBench,70,30,0,0,30
,,,,,,
192,Katana,0,70,30,0,2
,,,,,,
196,Stroller,0,30,30,40,8
,,,,,,
197,Shampoo,0,0,50,0,0.6
